product_id,product_category_name
prod_0000,furniture
prod_0001,furniture
prod_0002,sports_leisure
prod_0003,sports_leisure
prod_0004,fashion
prod_0005,housewares
prod_0006,fashion
prod_0007,books
prod_0008,fashion
prod_0009,books
prod_0010,auto
prod_0011,beauty
prod_0012,fashion
prod_0013,books
prod_0014,furniture
prod_0015,toys
prod_0016,housewares
prod_0017,auto
prod_0018,fashion
prod_0019,books
prod_0020,books
prod_0021,books
prod_0022,furniture
prod_0023,books
prod_0024,toys
prod_0025,sports_leisure
prod_0026,furniture
prod_0027,toys
prod_0028,beauty
prod_0029,garden_tools
prod_0030,books
prod_0031,sports_leisure
prod_0032,furniture
prod_0033,auto
prod_0034,beauty
prod_0035,furniture
prod_0036,housewares
prod_0037,beauty
prod_0038,garden_tools
prod_0039,sports_leisure
prod_0040,auto
prod_0041,garden_tools
prod_0042,housewares
prod_0043,books
prod_0044,toys
prod_0045,toys
prod_0046,furniture
prod_0047,garden_tools
prod_0048,auto
prod_0049,electronics
prod_0050,electronics
prod_0051,auto
prod_0052,sports_leisure
prod_0053,furniture
prod_0054,toys
prod_0055,garden_tools
prod_0056,fashion
prod_0057,books
prod_0058,books
prod_0059,electronics
prod_0060,sports_leisure
prod_0061,toys
prod_0062,toys
prod_0063,books
prod_0064,toys
prod_0065,auto
prod_0066,electronics
prod_0067,garden_tools
prod_0068,furniture
prod_0069,housewares
prod_0070,housewares
prod_0071,furniture
prod_0072,auto
prod_0073,books
prod_0074,books
prod_0075,books
prod_0076,electronics
prod_0077,garden_tools
prod_0078,books
prod_0079,auto
prod_0080,beauty
prod_0081,books
prod_0082,electronics
prod_0083,electronics
prod_0084,electronics
prod_0085,garden_tools
prod_0086,electronics
prod_0087,electronics
prod_0088,sports_leisure
prod_0089,sports_leisure
prod_0090,toys
prod_0091,books
prod_0092,beauty
prod_0093,auto
prod_0094,garden_tools
prod_0095,auto
prod_0096,beauty
prod_0097,sports_leisure
prod_0098,housewares
prod_0099,auto
prod_0100,books
prod_0101,auto
prod_0102,toys
prod_0103,fashion
prod_0104,garden_tools
prod_0105,fashion
prod_0106,auto
prod_0107,auto
prod_0108,books
prod_0109,books
prod_0110,beauty
prod_0111,auto
prod_0112,fashion
prod_0113,garden_tools
prod_0114,housewares
prod_0115,fashion
prod_0116,sports_leisure
prod_0117,housewares
prod_0118,garden_tools
prod_0119,fashion
prod_0120,books
prod_0121,housewares
prod_0122,auto
prod_0123,housewares
prod_0124,auto
prod_0125,beauty
prod_0126,fashion
prod_0127,electronics
prod_0128,beauty
prod_0129,garden_tools
prod_0130,sports_leisure
prod_0131,beauty
prod_0132,auto
prod_0133,toys
prod_0134,toys
prod_0135,furniture
prod_0136,furniture
prod_0137,toys
prod_0138,auto
prod_0139,furniture
prod_0140,furniture
prod_0141,housewares
prod_0142,fashion
prod_0143,housewares
prod_0144,sports_leisure
prod_0145,fashion
prod_0146,auto
prod_0147,fashion
prod_0148,housewares
prod_0149,beauty
prod_0150,fashion
prod_0151,electronics
prod_0152,fashion
prod_0153,housewares
prod_0154,auto
prod_0155,books
prod_0156,toys
prod_0157,books
prod_0158,sports_leisure
prod_0159,auto
prod_0160,electronics
prod_0161,electronics
prod_0162,electronics
prod_0163,furniture
prod_0164,furniture
prod_0165,auto
prod_0166,toys
prod_0167,beauty
prod_0168,fashion
prod_0169,fashion
prod_0170,garden_tools
prod_0171,sports_leisure
prod_0172,garden_tools
prod_0173,garden_tools
prod_0174,garden_tools
prod_0175,furniture
prod_0176,furniture
prod_0177,sports_leisure
prod_0178,fashion
prod_0179,auto
prod_0180,sports_leisure
prod_0181,fashion
prod_0182,toys
prod_0183,garden_tools
prod_0184,auto
prod_0185,toys
prod_0186,sports_leisure
prod_0187,sports_leisure
prod_0188,auto
prod_0189,fashion
prod_0190,toys
prod_0191,beauty
prod_0192,sports_leisure
prod_0193,electronics
prod_0194,electronics
prod_0195,beauty
prod_0196,books
prod_0197,furniture
prod_0198,auto
prod_0199,garden_tools
prod_0200,auto
prod_0201,sports_leisure
prod_0202,sports_leisure
prod_0203,sports_leisure
prod_0204,fashion
prod_0205,furniture
prod_0206,electronics
prod_0207,books
prod_0208,beauty
prod_0209,fashion
prod_0210,auto
prod_0211,sports_leisure
prod_0212,auto
prod_0213,furniture
prod_0214,garden_tools
prod_0215,furniture
prod_0216,fashion
prod_0217,sports_leisure
prod_0218,beauty
prod_0219,toys
prod_0220,garden_tools
prod_0221,beauty
prod_0222,beauty
prod_0223,housewares
prod_0224,garden_tools
prod_0225,electronics
prod_0226,beauty
prod_0227,garden_tools
prod_0228,beauty
prod_0229,housewares
prod_0230,fashion
prod_0231,electronics
prod_0232,auto
prod_0233,electronics
prod_0234,auto
prod_0235,fashion
prod_0236,sports_leisure
prod_0237,electronics
prod_0238,electronics
prod_0239,toys
prod_0240,furniture
prod_0241,books
prod_0242,electronics
prod_0243,sports_leisure
prod_0244,garden_tools
prod_0245,auto
prod_0246,garden_tools
prod_0247,auto
prod_0248,electronics
prod_0249,books
prod_0250,beauty
prod_0251,beauty
prod_0252,fashion
prod_0253,garden_tools
prod_0254,housewares
prod_0255,furniture
prod_0256,furniture
prod_0257,fashion
prod_0258,housewares
prod_0259,beauty
prod_0260,beauty
prod_0261,housewares
prod_0262,sports_leisure
prod_0263,toys
prod_0264,furniture
prod_0265,garden_tools
prod_0266,books
prod_0267,electronics
prod_0268,beauty
prod_0269,electronics
prod_0270,housewares
prod_0271,electronics
prod_0272,garden_tools
prod_0273,sports_leisure
prod_0274,toys
prod_0275,beauty
prod_0276,garden_tools
prod_0277,toys
prod_0278,beauty
prod_0279,housewares
prod_0280,toys
prod_0281,toys
prod_0282,electronics
prod_0283,books
prod_0284,books
prod_0285,sports_leisure
prod_0286,toys
prod_0287,electronics
prod_0288,fashion
prod_0289,beauty
prod_0290,sports_leisure
prod_0291,sports_leisure
prod_0292,garden_tools
prod_0293,beauty
prod_0294,sports_leisure
prod_0295,garden_tools
prod_0296,fashion
prod_0297,garden_tools
prod_0298,toys
prod_0299,housewares
prod_0300,furniture
prod_0301,books
prod_0302,books
prod_0303,beauty
prod_0304,housewares
prod_0305,auto
prod_0306,auto
prod_0307,housewares
prod_0308,books
prod_0309,fashion
prod_0310,fashion
prod_0311,sports_leisure
prod_0312,books
prod_0313,electronics
prod_0314,electronics
prod_0315,electronics
prod_0316,sports_leisure
prod_0317,beauty
prod_0318,auto
prod_0319,toys
prod_0320,furniture
