customer_id,customer_state
cust_00000,MG
cust_00001,SP
cust_00002,RS
cust_00003,PR
cust_00004,RJ
cust_00005,PE
cust_00006,PE
cust_00007,SC
cust_00008,RS
cust_00009,SP
cust_00010,PE
cust_00011,RS
cust_00012,SC
cust_00013,RS
cust_00014,MG
cust_00015,SC
cust_00016,RS
cust_00017,PR
cust_00018,DF
cust_00019,MG
cust_00020,PR
cust_00021,RS
cust_00022,RJ
cust_00023,PR
cust_00024,BA
cust_00025,RS
cust_00026,RS
cust_00027,BA
cust_00028,PR
cust_00029,SC
cust_00030,MG
cust_00031,PR
cust_00032,SP
cust_00033,SC
cust_00034,SC
cust_00035,RJ
cust_00036,PR
cust_00037,BA
cust_00038,PR
cust_00039,DF
cust_00040,DF
cust_00041,RJ
cust_00042,MG
cust_00043,RS
cust_00044,SC
cust_00045,SC
cust_00046,GO
cust_00047,RS
cust_00048,PR
cust_00049,PR
cust_00050,PE
cust_00051,PR
cust_00052,SC
cust_00053,SP
cust_00054,RS
cust_00055,PR
cust_00056,DF
cust_00057,RJ
cust_00058,RS
cust_00059,BA
cust_00060,PR
cust_00061,RS
cust_00062,BA
cust_00063,SP
cust_00064,SC
cust_00065,GO
cust_00066,SC
cust_00067,PE
cust_00068,BA
cust_00069,BA
cust_00070,BA
cust_00071,DF
cust_00072,SC
cust_00073,MG
cust_00074,SC
cust_00075,PR
cust_00076,RJ
cust_00077,DF
cust_00078,PE
cust_00079,RS
cust_00080,DF
cust_00081,RS
cust_00082,MG
cust_00083,MG
cust_00084,MG
cust_00085,BA
cust_00086,DF
cust_00087,SC
cust_00088,PR
cust_00089,GO
cust_00090,BA
cust_00091,RJ
cust_00092,PR
cust_00093,BA
cust_00094,SC
cust_00095,SP
cust_00096,RS
cust_00097,DF
cust_00098,PE
cust_00099,PE
cust_00100,SC
cust_00101,SC
cust_00102,PR
cust_00103,MG
cust_00104,SC
cust_00105,GO
cust_00106,DF
cust_00107,RS
cust_00108,GO
cust_00109,RS
cust_00110,SP
cust_00111,MG
cust_00112,RS
cust_00113,DF
cust_00114,RJ
cust_00115,PR
cust_00116,DF
cust_00117,MG
cust_00118,MG
cust_00119,BA
cust_00120,PE
cust_00121,MG
cust_00122,BA
cust_00123,BA
cust_00124,PE
cust_00125,SC
cust_00126,BA
cust_00127,RS
cust_00128,MG
cust_00129,PR
cust_00130,PR
cust_00131,SC
cust_00132,RJ
cust_00133,GO
cust_00134,MG
cust_00135,MG
cust_00136,RJ
cust_00137,MG
cust_00138,GO
cust_00139,GO
cust_00140,MG
cust_00141,MG
cust_00142,RJ
cust_00143,RS
cust_00144,MG
cust_00145,SP
cust_00146,MG
cust_00147,MG
cust_00148,RJ
cust_00149,RS
cust_00150,BA
cust_00151,DF
cust_00152,BA
cust_00153,PE
cust_00154,SC
cust_00155,BA
cust_00156,GO
cust_00157,GO
cust_00158,SP
cust_00159,SC
cust_00160,BA
cust_00161,DF
cust_00162,SC
cust_00163,MG
cust_00164,PE
cust_00165,DF
cust_00166,RS
cust_00167,RS
cust_00168,PR
cust_00169,BA
cust_00170,RS
cust_00171,BA
cust_00172,RS
cust_00173,PR
cust_00174,BA
cust_00175,MG
cust_00176,MG
cust_00177,MG
cust_00178,GO
cust_00179,BA
cust_00180,DF
cust_00181,MG
cust_00182,PR
cust_00183,PR
cust_00184,DF
cust_00185,BA
cust_00186,PR
cust_00187,SC
cust_00188,SP
cust_00189,RS
cust_00190,DF
cust_00191,MG
cust_00192,RS
cust_00193,PR
cust_00194,SP
cust_00195,PR
cust_00196,RJ
cust_00197,PE
cust_00198,PE
cust_00199,PR
cust_00200,MG
cust_00201,PE
cust_00202,PE
cust_00203,RS
cust_00204,GO
cust_00205,SC
cust_00206,DF
cust_00207,BA
cust_00208,DF
cust_00209,MG
cust_00210,RJ
cust_00211,PE
cust_00212,SC
cust_00213,PE
cust_00214,GO
cust_00215,RS
cust_00216,MG
cust_00217,RJ
cust_00218,DF
cust_00219,SC
cust_00220,PE
cust_00221,DF
cust_00222,DF
cust_00223,DF
cust_00224,RS
cust_00225,BA
cust_00226,MG
cust_00227,PR
cust_00228,DF
cust_00229,MG
cust_00230,MG
cust_00231,SC
cust_00232,DF
cust_00233,BA
cust_00234,RJ
cust_00235,DF
cust_00236,RS
cust_00237,PR
cust_00238,BA
cust_00239,BA
cust_00240,DF
cust_00241,MG
cust_00242,PR
cust_00243,RS
cust_00244,SC
cust_00245,MG
cust_00246,RS
cust_00247,BA
cust_00248,RJ
cust_00249,PR
cust_00250,PE
cust_00251,PR
cust_00252,PE
cust_00253,PR
cust_00254,GO
cust_00255,GO
cust_00256,RJ
cust_00257,GO
cust_00258,SP
cust_00259,DF
cust_00260,BA
cust_00261,RJ
cust_00262,PR
cust_00263,DF
cust_00264,BA
cust_00265,SC
cust_00266,MG
cust_00267,RS
cust_00268,GO
cust_00269,GO
cust_00270,PR
cust_00271,SC
cust_00272,BA
cust_00273,DF
cust_00274,RJ
cust_00275,SP
cust_00276,SP
cust_00277,SC
cust_00278,RS
cust_00279,RJ
cust_00280,PR
cust_00281,BA
cust_00282,PR
cust_00283,BA
cust_00284,MG
cust_00285,DF
cust_00286,PR
cust_00287,PR
cust_00288,SC
cust_00289,DF
cust_00290,MG
cust_00291,PR
cust_00292,RS
cust_00293,SC
cust_00294,SC
cust_00295,DF
cust_00296,SP
cust_00297,PE
cust_00298,SP
cust_00299,SC
cust_00300,PR
cust_00301,SP
cust_00302,SP
cust_00303,PE
cust_00304,PE
cust_00305,SC
